code,name,current price, highest price, lowest price, rate to high, rate to low, price rate,days from last open, days from lowest price, priceTrend, redKline, redSoldier, industrySector, industrySubSector
600350,山东高速,7.11,11.58,5.42,0.61398965,0.76230663,0.27435067,61,79,GoUpRed,0,false,交通运输、仓储和邮政业,高速公路
000693,华泽钴镍,18.63,34.04,13.12,0.54729724,0.7042405,0.26338425,61,62,GoDown,0,false,深证成指,有色金属
000698,沈阳化工,7.93,12.89,4.92,0.6152055,0.6204288,0.3776662,61,72,GoUpRed,0,true,制造业,石油行业
600348,阳泉煤业,6.46,13.08,5.71,0.4938838,0.88390094,0.10176391,61,84,GoDown,0,true,采掘业,煤炭采选
002051,中工国际,25.33,40.7,16.5,0.6223587,0.6514015,0.36487603,61,72,GoUpRed,0,false,建筑业,工程建设
002052,同洲电子,14.65,21.2,11.25,0.6910377,0.7679181,0.34170848,13,31,GoUpRed,0,true,制造业,通讯行业
300005,探路者,22.9,41.5,14.22,0.5518072,0.6209607,0.3181818,61,79,GoDown,0,true,制造业,纺织服装
600343,航天动力,25.57,40.9,16.36,0.62518334,0.6398123,0.37530556,61,72,GoUpGreen,2,true,制造业,航天军工
000669,金鸿能源,22.33,33.95,16.05,0.65773195,0.71876395,0.350838,61,72,GoDown,0,false,电力、煤气及水的生产和供应业,塑胶制品
002081,金 螳 螂,18.68,37.12,12.25,0.5032328,0.65578157,0.25854445,61,72,GoDown,0,false,建筑业,装修装饰
000667,美好集团,4.96,9.06,4.23,0.54746133,0.8528226,0.15113871,61,72,GoUpRed,0,false,深证成指,房地产
600337,美克家居,15.62,22.95,11.6,0.68061,0.7426377,0.35418496,61,72,GoUpRed,0,true,null,商业连锁
600339,天利高新,7.52,12.22,4.96,0.6153846,0.65957445,0.35261706,61,119,GoDown,0,false,制造业,石油行业
600331,宏达股份,7.5,15.07,5.19,0.4976775,0.69200003,0.23380569,61,79,GoDown,0,false,null,成渝特区
600335,国机汽车,18.74,37.93,14.0,0.494068,0.7470651,0.19807771,61,72,GoDown,0,true,批发和零售业,交通工具
600333,长春燃气,8.77,13.69,5.72,0.6406136,0.6522234,0.38268515,61,72,GoUpRed,0,false,制造业,公用事业
002078,太阳纸业,5.63,11.02,4.16,0.5108893,0.7388987,0.21428573,29,71,GoUpRed,0,true,深证成指,造纸印刷
002071,长城影视,17.75,30.31,11.56,0.58561534,0.65126765,0.33013332,61,85,GoDown,0,true,深证成指,文化传媒
002073,软控股份,16.9,28.35,10.32,0.5961199,0.6106509,0.3649473,28,67,GoUpGreen,0,false,制造业,电子信息
600327,大东方,10.01,17.89,6.89,0.5595305,0.68831164,0.2836364,61,72,GoUpRed,0,false,null,商业百货
600326,西藏天路,11.29,20.83,8.41,0.54200673,0.74490696,0.23188406,61,72,GoUpRed,0,false,建筑业,工程建筑
000672,上峰水泥,8.5,12.05,7.6,0.7053942,0.89411765,0.2022472,18,36,GoDown,0,true,null,建材
600329,中新药业,21.18,33.11,14.93,0.63968587,0.7049103,0.34378436,61,120,GoDown,0,true,null,医药
600322,天房发展,5.36,9.46,4.01,0.5665962,0.7481344,0.24770641,61,72,GoDown,0,false,房地产业,房地产
600321,国栋建设,5.18,11.89,4.25,0.43566018,0.82046336,0.12172772,61,61,GoUpRed,0,false,制造业,水泥建材
600320,振华重工,5.97,11.67,5.67,0.5115681,0.9497488,0.049999952,61,72,GoUpRed,0,false,制造业,机械行业
600316,洪都航空,23.34,49.67,16.58,0.46990138,0.71036845,0.20429136,61,72,GoUpRed,2,true,制造业,航天航空
600317,营口港,4.75,7.64,4.33,0.62172776,0.91157895,0.12688825,61,84,GoUpRed,0,true,交通运输、仓储和邮政业,交通设施
600313,农发种业,15.18,25.29,10.01,0.60023725,0.6594203,0.33835077,61,79,GoDown,0,false,农、林、牧、渔业,农林牧渔
