#代码;名称;收盘价;涨跌幅;成交量/股;换手率;流通市值/万元;总市值/万元
600642;申能股份;7.72;+6.48%;89274832;1.96%;3514173.58;3514173.58;
601872;招商轮船;7.44;+9.09%;155517520;3.29%;3512365.83;3942796.84;
600369;西南证券;15.00;+3.23%;67612432;2.91%;3483831.84;4233831.84;
000793;华闻传媒;0.00;0.00%;0;0.00%;3473643.21;4256299.52;
000878;云南铜业;0.00;0.00%;0;0.00%;3470160.29;3470177.06;
600895;张江高科;22.29;+9.37%;48261696;3.12%;3452029.01;3452029.01;
600085;同仁堂;25.14;+4.84%;18166196;1.32%;3447876.24;3447876.24;
600089;特变电工;10.82;+5.25%;100062640;3.15%;3438730.52;3515476.09;
601928;凤凰传媒;13.44;+5.08%;66610424;2.62%;3420345.60;3420345.60;
601117;中国化学;6.85;+6.04%;84759976;1.72%;3379105.00;3379105.00;
002475;立讯精密;29.30;+5.24%;11976395;1.04%;3368582.91;3656340.64;
000963;华东医药;76.44;+5.00%;7395512;1.70%;3317954.57;3317954.57;
601098;中南传媒;18.46;+2.90%;17835818;0.99%;3315416.00;3315416.00;
002202;金风科技;15.36;+6.30%;56498956;2.63%;3299262.00;4201790.98;
600352;浙江龙盛;10.75;+5.39%;124105568;4.06%;3289426.75;3497331.75;
000876;新 希 望;0.00;0.00%;0;0.00%;3282056.72;3957738.74;
600978;宜华木业;22.33;0.00%;0;0.00%;3272147.79;3311248.72;
600100;同方股份;15.76;+9.98%;164465408;7.94%;3262637.47;4671104.75;
601555;东吴证券;12.56;+4.67%;70339768;2.71%;3254296.00;3391200.00;
000024;招商地产;0.00;0.00%;0;0.00%;3247581.43;8150308.19;
000166;申万宏源;9.96;+5.17%;117266544;3.60%;3241661.74;14797318.00;
601918;国投新集;12.49;+10.04%;259925248;10.03%;3235586.71;3235586.71;
000728;国元证券;16.45;+4.11%;69416688;3.53%;3230944.50;3230944.50;
603993;洛阳钼业;12.79;+9.88%;100300400;3.98%;3224764.13;7199575.71;
601211;国泰君安;21.14;+4.45%;138621920;9.09%;3223850.00;16119250.00;
600873;梅花生物;10.34;0.00%;0;0.00%;3213906.31;3213906.31;
600406;国电南瑞;14.47;+7.34%;63100660;2.86%;3191725.46;3514695.50;
000895;双汇发展;17.50;+3.25%;21603886;1.19%;3180500.77;5776518.43;
600570;恒生电子;51.24;+5.56%;53214696;8.61%;3165633.74;3165633.74;
600208;新湖中宝;4.93;+6.02%;67666976;1.06%;3136960.13;4012099.06;
600068;葛洲坝;7.56;+8.15%;107955000;2.60%;3136323.68;3481211.72;
000738;中航动控;27.29;+10.00%;44684100;3.90%;3126457.97;3126457.97;
000425;徐工机械;13.20;+10.00%;136280480;5.78%;3110582.62;3117086.59;
000898;鞍钢股份;5.05;+7.45%;94728752;1.54%;3105211.64;3653577.96;
600009;上海机场;28.26;+3.78%;33743188;3.09%;3090164.30;5445584.57;
000568;泸州老窖;22.00;+4.07%;30980698;2.21%;3081156.01;3084955.45;
600377;宁沪高速;8.05;+9.97%;24452770;0.64%;3057374.99;4055386.74;
600277;亿利能源;14.58;0.00%;0;0.00%;3046621.49;3046621.49;
600026;中海发展;11.08;0.00%;0;0.00%;3031524.41;4467492.41;
600350;山东高速;6.25;+7.39%;23714420;0.49%;3006978.66;3006978.66;
600111;北方稀土;13.39;+8.77%;81273016;3.66%;2971515.20;4864675.37;
600098;广州发展;10.87;+10.02%;54080932;1.98%;2963375.66;2963375.66;
300070;碧水源;44.60;+6.65%;15550208;2.34%;2961310.78;5483390.16;
601118;海南橡胶;7.50;+9.97%;116013760;2.95%;2948378.70;2948378.70;
002353;杰瑞股份;0.00;0.00%;0;0.00%;2946629.29;4248082.45;
600177;雅戈尔;13.20;+5.94%;76975048;3.46%;2939127.44;2939127.44;
000732;泰禾集团;28.89;+7.44%;4378860;0.43%;2934567.55;2938627.22;
600332;白云山;28.13;+7.08%;27004088;2.61%;2915223.31;3631805.93;
601179;中国西电;6.69;+10.03%;80290888;1.84%;2914833.00;3429215.29;
000792;盐湖股份;18.40;+5.38%;13264772;0.85%;2882133.22;2926536.93;
600362;江西铜业;13.77;+9.98%;70638288;3.40%;2857615.68;4768178.39;
000066;长城电脑;0.00;0.00%;0;0.00%;2850970.05;2851021.23;
601608;中信重工;6.93;+10.00%;61525032;1.50%;2848230.00;2848230.00;
600863;内蒙华电;4.90;+8.41%;119149288;2.05%;2845795.05;2845795.05;
600307;酒钢宏兴;4.54;+9.93%;361767616;5.78%;2843564.27;2843564.27;
000423;东阿阿胶;43.39;+3.19%;13376919;2.05%;2836488.52;2837799.45;
000826;桑德环境;33.65;+10.00%;13860233;1.65%;2832238.94;2847602.30;
002030;达安基因;0.00;0.00%;0;0.00%;2794373.03;2893091.70;
002241;歌尔声学;22.71;+8.40%;26810900;2.19%;2782554.76;3466527.04;
600006;东风汽车;13.87;+9.99%;182657312;9.13%;2774000.00;2774000.00;
000887;中鼎股份;0.00;0.00%;0;0.00%;2756599.31;2760845.35;
600737;中粮屯河;20.78;+10.01%;131438440;9.94%;2748494.66;4263798.65;
600827;百联股份;17.70;+9.19%;52736312;3.42%;2730716.27;3048817.48;
600598;北大荒;15.32;+7.06%;61205444;3.44%;2723405.62;2723405.62;
002146;荣盛发展;8.03;+7.21%;60373648;1.79%;2702020.64;3070740.00;
600446;金证股份;101.55;0.00%;0;0.00%;2697528.50;2811264.50;
600682;南京新百;37.53;0.00%;0;0.00%;2687637.28;3071446.77;
601333;广深铁路;4.75;+8.70%;122441296;2.17%;2684812.58;3364680.08;
600489;中金黄金;9.10;+5.94%;98291864;3.34%;2678338.21;2678338.21;
600804;鹏博士;19.79;+10.01%;80882744;5.98%;2676560.05;2754406.69;
600435;北方导航;35.90;+9.99%;29312186;3.94%;2673329.40;2673329.40;
002081;金 螳 螂;15.90;+6.50%;69480168;4.14%;2669455.56;2801907.21;
600875;东方电气;13.33;+8.46%;53376036;2.67%;2661868.19;3115088.19;
600547;山东黄金;18.63;+5.61%;51675492;3.63%;2651183.90;2651183.90;
